t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2
0,-5.0,4.5,1.2,1.0,4.49700019782553e-28,-2.8458608818393406e-29,1.1529772205068626e-29,5.944108726482915e-30,-6.0634946247763475e-30,-1.3053953163056685e-29,-7.477461377219054e-30,-1.603188670739294e-30,1.6251249866511152e-29,0.29161215941073076,-0.29182964419323315,2.347313419691326,140.60765226981258,140.60767121965483,-8.698774811469512,2.5093925377530657,2.1895548028082965,2.511341363307997,3.126937441842697,1.0,0,0,1.0,0,0,1.0,0,0
0.0320039,-4.999925180431123,4.499925324736796,1.2012075002804514,0.9987012017590268,0.03595137668951298,0.03602616759248162,-0.002227142562620078,0.00933273468723899,-0.009339695054658882,0.07512325075210385,4.499997243878403,4.499997850347799,-0.2783949667377791,2.1138955952322735,-2.119481887443609,4.692413395697986,-2.5217529744269105,2.5384154903414813,-0.6748173448318073,3.1330891160595002,3.156031225664976,3.156029522650359,3.156031202769197,0.9998269586257011,0.00017304137429890738,0.5808056382045629,0.9999093457346697,9.065426533035608e-05,0.5625918659082563,0.999928775809969,7.122419003112393e-05,0.5008894267209958
0.0640079,-4.998721920454886,4.498719003558474,1.2060668537759147,0.9883313692920331,0.10690109163592518,0.10829143650706446,-0.006756564913275684,0.0769856980845533,-0.07717144174824977,0.22529891336298188,4.419291242096311,4.58123711809715,-0.29999177276393607,4.189609583060637,-4.194371143201445,3.9373932521610784,0.9583468998086563,-0.9309479396083329,-0.00016945765844152277,3.185120368301821,3.185125150758323,3.185123303459788,3.1851242825636734,0.9996537919408476,0.00017316668485356908,0.5763810492117027,0.9998186745585846,9.067117608511509e-05,0.5619455550973248,0.9998544014038425,7.437440612645205e-05,0.5012031512268417
0.0960118,-4.994280531499308,4.494270633366918,1.215396747042261,0.9676929624989399,0.17633147016133716,0.17985631676727273,-0.0113427507880389,0.21106966344741898,-0.2114077957412099,0.3513109653158204,4.449962107715652,4.551443126839882,-0.2999971960747135,5.882963033785717,-5.913882465187623,2.3665226865536306,-44.73054168610301,-39.25096520247456,7.600429103231695,3.192633091954356,3.21421901649191,3.2142126140108878,2.934212099963207,0.999480229527796,0.0001735624130514587,0.5744317759638969,0.9997279298469607,9.07447116239131e-05,0.5616692073449246,0.9997789564392577,7.544496458473887e-05,0.5013959399767497
0.128016,-4.984640090857098,4.484603898568672,1.2279744306415188,0.9422234515003398,0.23368920733612192,0.23961481291088466,-0.013721079166443224,0.39934759150125276,-0.4006752670655897,0.42704898807031444,3.018409051709848,3.2952580445957937,-0.05675360680543497,6.6481763659466795,-6.685314314333801,0.7357478488641435,-90.18921879097232,-109.45530336629015,11.147074991541341,3.132377533292759,3.243312869238779,3.0677154362370165,2.57777955057884,0.9993059019072412,0.00017432762055472428,0.5735325948389847,0.9996370186771948,9.091116976597687e-05,0.5616235152924254,0.9997027920033962,7.616443586166688e-05,0.5015472307717268
0.16002,-4.968497841667194,4.468404483332599,1.2420744474169503,0.9298540170412701,0.258124758823507,0.2619030149213235,-0.01221019381647676,0.6121153522926084,-0.6146315881002005,0.450595809588427,0.13199974584837063,-0.2077416536782855,0.2999965837388622,7.353997567864946,-7.524791795338595,1.4431831342345962,0.04265137364210809,-0.010218209732949369,1.4040518193033933e-05,3.272403595251306,3.2724067179195044,3.272280019449393,3.2722764194035765,0.9991303783336396,0.00017552357360168838,0.5733531193214381,0.9995458226506669,9.119602652781376e-05,0.5617914046920787,0.9996259616293403,7.683037405583986e-05,0.5016801206569075
0.192024,-4.945133146817322,4.444886051669491,1.2572327664343237,0.9302179508928627,0.26131065543368126,0.2575394025825251,-0.009160986726680288,0.8474721643342354,-0.855454486378919,0.49678333936813984,0.13336475735904443,-0.2080686765315468,0.29999703309060194,7.319569530096945,-7.661074679230241,1.5612602162132334,0.043332270034422124,-0.01746010307765718,5.348915518207312e-06,3.3014992543819965,3.3015005653439977,3.3013486163411723,3.3013471235160434,0.9989531745964271,0.00017720373721260354,0.5737850181848602,0.9994542076187249,9.161503194199386e-05,0.5621731347254347,0.9995484138239277,7.75478054126606e-05,0.501805185213788
0.224027,-4.914253635722744,4.413590677766417,1.2739298706580091,0.9305419647560534,0.2645068589828003,0.2531590303010201,-0.006118944154322025,1.081727143918189,-1.100638972323744,0.5467497996320163,0.1347515602291451,-0.20862746842131194,0.2999972042769115,7.282778624347635,-7.799390375420652,1.6777810924586318,0.04376797990213055,-0.05887995092666601,2.0614271353493047e-06,3.3305936418239424,3.330594411475824,3.330303365275229,3.3303025255348246,0.9987737537849725,0.00017942081145455542,0.5747986293407019,0.9993620296396113,9.217797911368551e-05,0.5627722978883066,0.999470048040849,7.83657830785715e-05,0.5019284060003308
0.256031,-4.875895753482823,4.374377737361048,1.2922858929321137,0.930828851060749,0.2677134170835091,0.24875049148207562,-0.0030874870191419774,1.3148046699866398,-1.3502501039140535,0.600445385683104,0.13615230752668034,-0.21051185815837448,0.29999727025067807,7.242648180872638,-7.939598281720772,1.792681213148396,0.04473139116670943,-0.20136900725210477,-4.835133219834809e-07,3.359687739395521,3.359688256084453,3.358921213572997,3.3589207133235184,0.9985915431649471,0.00018221062002527692,0.5763890042913865,0.9992691397294704,9.288991014085345e-05,0.5635918889936843,0.9993907382873183,7.930975353077803e-05,0.5020536106343109
0.288035,-4.830098782334411,4.327104608442437,1.3124192972768607,0.9310896942059865,0.27093036121592573,0.2442700929635464,-7.941461796776974e-05,1.5465978642131324,-1.6043484393068261,0.6578182269765527,0.1375838877694027,-0.2169564574601121,0.2999972547763523,7.195500842806218,-8.08104406839978,1.9056867739996601,0.04787144796917201,-0.7165648725247808,-2.784942035622279e-06,3.3887817279075847,3.38878209890369,3.3862966669285064,3.3862963906204304,0.9984059249861792,0.0001856181787679251,0.5785806763361688,0.9991753829867207,9.375674274970576e-05,0.5646395423187629,0.9993103400833465,8.039820397175763e-05,0.5021837398380082
