q,alpha,beta,aileron,elevator,intercept
-4.785648446267327e-07,-0.13901587562932735,-3.0533874823065326e-17,-9.541480397139293e-19,-0.0004197129235154914,-0.11510927775620107
1.5941418782968629e-22,-3.171286565517797e-17,-0.2676482365637639,0.00031501091078559143,8.348293976181354e-19,-7.426218897231542e-19
-3.8927011993854015e-06,-5.291031832000776,-4.892248841368042e-16,-1.2342406087476983e-17,-0.009310560803644995,-0.1569739077656676
2.4023454390974117e-22,-9.035731350335694e-18,-0.025959305273676445,0.011935454244100925,5.295547877358906e-19,-1.9093382314581547e-18
3.606743367892026e-07,-1.7197733144718799,-1.1479562956372374e-16,-6.8357786125018326e-18,-0.046334054290602014,-0.008496196083717582
1.3676543935210148e-22,-1.6224033732495406e-18,0.04461887170107211,0.00021754395946897603,2.9121695488792465e-19,-1.0267524476505835e-19
