q,alpha,beta,aileron,elevator,windtunnel,CX,CY,CZ,Cl,Cm,Cn
354.98645101479826,0.17533577665535033,-0.00017453292519943296,0,0,True,-0.24899785355381554,0.0031034583707968658,0.782857783746022,-0.001539768482528555,0.26792107904185547,0.0010758605094070002
355.4801047599507,0.15090116712742974,-0.00017453292519943296,0,0,True,-0.18118336462343676,0.0029016225066588962,0.7255074496313321,0.0017554148104628252,0.3309987795306787,0.0012559919061365952
355.7764616497586,0.15090116712742974,-0.00017453292519943296,0,0,True,-0.1811786013810984,0.0026316216712039334,0.7243449622720991,0.001983916834877906,0.3314386200128717,0.0014829183187183457
354.49314027530545,0.12173671532660447,-0.00017453292519943296,0,0,True,-0.11600908749996248,0.002230247439256901,0.6032870311168521,0.0028747642122973977,0.2801579973030316,0.0004005807295089256
355.03580095405897,0.10627309815393474,-0.00017453292519943296,0,0,True,-0.09038808086095372,0.0018357757240361958,0.5258488832980106,0.0023655898484503304,0.2235583519117325,7.02874510971595e-05
353.0152660907837,0.0882438469808333,-0.00017453292519943296,0,0,True,-0.06621386311915145,0.0011915565173087122,0.4243356701055243,0.00259980229979652,0.1648781875068463,-0.00014206787303759806
356.0235200511551,0.06799802765769908,-0.00017453292519943296,0,0,True,-0.045183750507406695,0.0002578860560353312,0.30567636870531306,0.002885197959016838,0.09051798713051976,-0.0002147279726223074
353.1136949948338,0.05715953300281429,-0.00017453292519943296,0,0,True,-0.036302150439171454,6.3359205715128665e-06,0.24196127754942084,0.0022327303352231375,0.05375844207896945,-0.00029306028015540554
353.2121376191104,0.03309144261781249,-0.00017453292519943296,0,0,True,-0.022449507636397834,-0.0009660818364970929,0.10388412820430513,0.002169454841240031,-0.02160151489420032,-0.00027834391325806446
353.9016201553844,0.016266468628587154,-0.00017453292519943296,0,0,True,-0.017027830172260398,-0.001407028104435588,-0.0002870044215458177,0.0021227194339857695,-0.08036148316169663,-0.00036546368882700434
353.5075478132981,0.0020420352248333657,-0.00017453292519943296,0,0,True,-0.01598670410310494,-0.0018472098219173678,-0.09483284245341157,0.0023648927265072705,-0.13472165305850112,-0.00037515958759839026
352.424980791237,-0.016807520696705394,-0.00017453292519943296,0,0,True,-0.019676479279885854,-0.0024765658442513455,-0.2126093395991044,0.002427129854951516,-0.1753616971271965,-0.0003309674591880029
353.6060453184802,-0.036634460999360983,-0.00017453292519943296,0,0,True,-0.029179317301184414,-0.0029049072926662254,-0.33225422067365495,0.0005354350061638011,-0.23540037738950237,-0.00040025574220124016
354.000172541472,-0.05108578720587403,-0.00017453292519943296,0,0,True,-0.03959126570299614,-0.0033630900718423806,-0.4169122603200863,6.8162556889452e-05,-0.2819600518809387,-0.0003846106108596097
355.7270602596493,-0.06946410422937431,-0.00017453292519943296,0,0,True,-0.05762639974324962,-0.004009942357010077,-0.5239538999901848,-0.0006139884762620674,-0.33379957643924124,-0.00025901971443056666
353.8030814895233,-0.08936085770210968,-0.00017453292519943296,0,0,True,-0.0814919021039873,-0.004095777042400187,-0.6245495339858106,-6.220995719757243e-05,-0.3760799622972824,-0.0002870580531747722
353.7045565438885,-0.1040041701263421,-0.00017453292519943296,0,0,True,-0.10145902053735811,-0.004222292124756835,-0.6952638287016039,-0.00024683548782569297,-0.40815983389295174,-0.00026766961319822793
353.40906402834247,-0.1193630675438922,-0.00017453292519943296,0,0,True,-0.12358657987170402,-0.004498430141324117,-0.7593766300735614,6.408919936809955e-05,-0.4430800514911966,-0.00031215498463759214
354.34521393956123,-0.14107496343870166,-0.00017453292519943296,0,0,True,-0.16066888921665753,-0.004661958059924524,-0.8490437599941082,0.000867923143528396,-0.47644061318126274,-0.0007120332740286432
355.7270602596493,-0.15835372303344553,-0.00017453292519943296,0,0,True,-0.1965212037610681,-0.005375700661494608,-0.9109578788367214,0.001118043523142397,-0.48788078797247175,-0.0007287826427435428
357.45814979715533,-0.17294467558011814,-0.00017453292519943296,0,0,True,-0.23181831674845424,-0.00552954015548821,-0.9522635558003794,0.0013648705229175188,-0.4749209600928346,-0.0013079497264561176
353.85234910742554,0.17360790069587595,-0.017453292519943295,0,0,True,-0.24320003702938464,0.00782561777129002,0.7838053221912975,-0.0003929805676413384,0.2755494013348305,0.001801535532396685
355.57887666966036,0.15805701706060646,-0.017453292519943295,0,0,True,-0.20095796265353466,0.006228148618239201,0.7503197337208516,0.001986427099123867,0.3245107528270909,0.001822474582685695
354.14802684602773,0.13913764796898795,-0.017453292519943295,0,0,True,-0.15110305266785048,0.00405772990099156,0.6778477621874306,0.003412001459489675,0.32313102387511394,0.00120929075462578
355.7764616497586,0.12337732482347916,-0.017453292519943295,0,0,True,-0.1180377028407194,0.0029504913390214884,0.6076787865385332,0.0034456220089098323,0.28084223604992536,0.0007891717978944929
354.2466135326812,0.103724917446023,-0.017453292519943295,0,0,True,-0.08619854980145508,0.0017946454586353288,0.5085363863675871,0.0032124549813854894,0.21336823673594071,0.0003983152078378088
352.8184494433626,0.0890117918517108,-0.017453292519943295,0,0,True,-0.06664979930511564,0.0009733476319951222,0.4232301457209483,0.0026237895032714545,0.1654420318595208,0.00017974851766901098
356.12236742210985,0.0697782634947333,-0.017453292519943295,0,0,True,-0.04655964806998972,-0.000507499392921327,0.3121044072357276,0.0024448874516389,0.09220336634129316,0.00018283204628642067
354.5917749827512,0.05225515780471023,-0.017453292519943295,0,0,True,-0.032720163260458714,-0.00184923605969307,0.20922852157916821,0.00248040879139232,0.03631237414103265,0.00022156261572664704
