q,alpha,beta,aileron,elevator,windtunnel,CX,CY,CZ,Cl,Cm,Cn
3001.25,-0.08726646259971647,0.17453292519943295,2.0,2.0,True,-0.03390256921009365,0.029180786756094354,-0.6361119296397204,-0.03716895687411201,-0.3620540166784726,-0.006293875776946647
1531.25,-0.0,-0.17453292519943295,5.0,5.0,True,-0.04233193624793585,-0.028152584027891375,-0.19931181805116094,-0.09286757288101496,0.006951365202890005,0.00873431192042532
551.25,0.17453292519943295,-0.17453292519943295,4.0,5.0,True,-0.09768404868857548,-0.012690549193455644,0.5866247921391913,-0.03881073374705619,0.18053762561569536,-0.0034888729223684634
1531.25,0.08726646259971647,0.17453292519943295,2.0,-2.0,True,-0.0312198699183902,0.027493172329929243,0.36784170760565005,-0.03932329914372772,0.11575244516082503,-0.008759413774429108
1531.25,-0.0,-0.08726646259971647,-0.0,5.0,True,-0.020466894585204384,-0.012694815432144948,-0.19515139947365454,-0.0026326756359158865,-0.2542145290730198,0.003226568370900363
551.25,-0.0,-0.17453292519943295,4.0,5.0,True,-0.036191223681276134,-0.028872501561989894,-0.18399455749446467,-0.07614964257103894,-0.027767691581413574,0.008137947078869645
3001.25,-0.0,-0.17453292519943295,-0.0,-0.0,True,-0.020104236886055105,-0.03196950729224891,-0.1409797291179096,-0.0028019195217672825,-0.005889296586993134,0.00810448646901326
3001.25,0.08726646259971647,-0.17453292519943295,2.0,2.0,True,-0.028182928397742005,-0.03100448341538824,0.32456269040603664,-0.044681910250555706,0.1644774635907425,0.006702986503316045
1531.25,-0.0,-0.0,2.0,-2.0,True,-0.022277408192076856,-0.0008425889034251409,-0.12370382347881324,-0.04360573743043184,0.08159274300444011,0.00042352620803292744
551.25,-0.0,0.08726646259971647,2.0,-0.0,True,-0.023746425610463414,0.012815348882053218,-0.13612167054753324,-0.040492655021942284,-0.0712597283296786,-0.003134672754435104
1531.25,0.17453292519943295,-0.17453292519943295,-0.0,2.0,True,-0.09220846415520856,-0.011473005193337566,0.6527479214517775,0.0030599352526824307,0.20065364911913397,0.005048079065966994
3001.25,-0.17453292519943295,-0.17453292519943295,4.0,5.0,True,-0.0865453643103475,-0.017997245093267878,-1.003066374666707,-0.05526809045470596,-0.34304832920882483,0.015334972354360902
1531.25,0.08726646259971647,-0.08726646259971647,2.0,-2.0,True,-0.029568371200363205,-0.015206813561279304,0.36647322102005847,-0.04281716560474398,0.29074320656865055,0.00267043865813363
3001.25,-0.08726646259971647,-0.0,2.0,-5.0,True,-0.030949169751259494,-1.7196156727413988e-05,-0.5835592726430271,-0.042991609314656475,0.08464719131611077,0.0019120336761376904
1531.25,-0.17453292519943295,0.08726646259971647,2.0,-2.0,True,-0.06057507618136502,0.011404707658881309,-1.0151048966169132,-0.024982642261507523,-0.23234111501994315,0.0006091008367027067
3001.25,-0.08726646259971647,-0.0,2.0,-0.0,True,-0.031064204835154447,-8.638795076281249e-05,-0.633925314357054,-0.042759428879415876,-0.16773040378024254,0.0019100636391776737
1531.25,0.17453292519943295,0.17453292519943295,4.0,-5.0,True,-0.10988040919659331,0.006798947777755402,0.6719559004744349,-0.0471335391714293,0.32720583600232794,-0.015020306067234137
1531.25,-0.08726646259971647,-0.17453292519943295,-0.0,-0.0,True,-0.030050602012307637,-0.030407786234056194,-0.6173928685279729,-0.0029000338053450114,-0.1510327325235342,0.008272249089902862
1531.25,0.08726646259971647,-0.0,-0.0,-0.0,True,-0.023740145317810775,-0.0002200772406615674,0.3519291628430478,-3.6930651222608994e-05,0.1331517946950195,5.0984483322018596e-05
551.25,0.08726646259971647,0.17453292519943295,-0.0,-5.0,True,-0.032982176463223836,0.027865572444303943,0.3900670714409396,-3.7704042166228723e-05,0.3446749773212009,-0.007445118327536039
1531.25,0.17453292519943295,0.17453292519943295,-0.0,-0.0,True,-0.09856888710784882,0.009906805283093923,0.6669707948959183,-0.005190174609990162,0.2923663961151649,-0.0049829490864473315
3001.25,0.08726646259971647,0.17453292519943295,-0.0,-2.0,True,-0.027266181705396304,0.029099968511225493,0.3700109236906325,0.0013548011379016542,0.23276091942853025,-0.007632498324966737
3001.25,0.17453292519943295,-0.17453292519943295,2.0,2.0,True,-0.08474782918694564,-0.016030591592298967,0.665194233676911,-0.0171023025331627,0.25348526436877966,-0.0009562673415617416
551.25,-0.17453292519943295,-0.08726646259971647,-0.0,-2.0,True,-0.06514050896421773,-0.006900632187005608,-1.0029318354851209,-0.0008142928333140622,-0.23122240012747855,0.0032480889409028935
1531.25,-0.0,0.17453292519943295,2.0,2.0,True,-0.02444971377860706,0.02949456275678582,-0.1541183450401233,-0.037945619529868795,-0.21785964490847784,-0.0073539136168753235
551.25,0.17453292519943295,-0.0,-0.0,-0.0,True,-0.09664277743264202,-0.00031639885844205904,0.6606958612911581,8.324791430923811e-05,0.2944708727247457,3.6702231074571446e-05
551.25,-0.08726646259971647,-0.0,2.0,2.0,True,-0.03439873710149758,-3.935997748432706e-05,-0.641721510065781,-0.0413408272952321,-0.261396567729532,0.0018447180809067864
